OSEBuildingID,DataYear,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),LargestPropertyUseTypeGFA,Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,OHE_Campus,OHE_Multifamily,OHE_NonResidential,OHE_SPS-District K-12,OHE_Autres_Neighborhood,OHE_BALLARD,OHE_CENTRAL,OHE_DELRIDGE NEIGHBORHOODS,OHE_DOWNTOWN,OHE_EAST,OHE_GREATER DUWAMISH,OHE_LAKE UNION,OHE_MAGNOLIA / QUEEN ANNE,OHE_NORTH,OHE_NORTHEAST,OHE_NORTHWEST,OHE_SOUTHEAST,OHE_SOUTHWEST,OHE_Autres_LargestPropertyUseType,OHE_Distribution Center,OHE_Hotel,OHE_K-12 School,OHE_Multifamily Housing,OHE_Non-Refrigerated Warehouse,OHE_Office,OHE_Other,OHE_Retail Store,OHE_Worship Facility,OHE_Autres_ComplianceStatus,OHE_Compliant,OHE_Not Compliant,OHE_Account Requires Verification,OHE_Autres_ComplianceIssue,OHE_No Issue,OHE_Portfolio Manager Account Not Shared,TotalGHGEmissions,SiteEnergyUse(kBtu)
28019.0,2019.0,2.0,31805.0,0.0,78.6,51.8,1648218.0,75.1,31805.0,376252.0,338864.0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,69.9,1693990.0
28020.0,2019.0,1.0,20811.0,0.0,48.0,36.1,1364051.0,83.3,20811.0,501350.0,338864.0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,48.9,1391606.0
28022.0,2019.0,4.0,28328.0,0.0,65.0,27.1,767965.0,75.9,28328.0,767965.0,0.0,0.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.7,764757.0
28025.0,2019.0,2.0,22058.0,0.0,78.6,36.1,2080706.0,83.3,12644.0,862260.0,338864.0,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,70.0,2105018.0
28027.0,2019.0,6.0,42188.0,0.0,63.8,32.8,1382796.0,64.4,42188.0,722916.0,659880.0,0.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,39.5,1390526.0
28028.0,2019.0,6.0,36730.0,0.0,93.4,28.1,1033396.0,57.6,36730.0,589697.0,443699.0,0.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,27.2,1037253.0
28029.0,2019.0,1.0,22890.0,0.0,78.6,36.1,1773587.0,83.3,46342.0,1145137.0,338864.0,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,96.6,9144270.0
28033.0,2019.0,1.0,28320.0,0.0,78.6,36.1,1773587.0,83.3,28320.0,1145137.0,338864.0,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,68.7,4222982.0
28035.0,2019.0,3.0,26498.0,0.0,74.0,29.3,758215.0,82.0,25898.0,758215.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4.7,767181.0
28039.0,2019.0,3.0,28683.0,0.0,86.6,23.4,672531.0,65.7,25091.0,672531.0,0.0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4.1,671770.0
28046.0,2019.0,3.0,43645.0,0.0,94.0,27.2,2295748.0,76.2,41615.0,1145137.0,0.0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,14.2,2276044.0
28048.0,2019.0,3.0,42045.0,0.0,89.0,22.3,1144397.0,62.4,51337.0,1144397.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7.1,1134504.0
28049.0,2019.0,4.0,36278.0,0.0,73.0,26.7,1145062.0,74.8,42842.0,1145062.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7.1,1137190.0
28050.0,2019.0,4.0,38311.0,0.0,90.0,22.1,956318.0,61.9,43288.0,956318.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5.9,947990.0
28051.0,2019.0,4.0,56800.0,0.0,77.0,28.3,1671170.0,79.3,59039.0,1671170.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10.3,1658054.0
28053.0,2019.0,1.0,29079.0,0.0,59.0,31.1,902907.0,60.9,29079.0,470657.0,432250.0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,25.9,897188.0
28066.0,2019.0,3.0,19232.0,0.0,77.0,37.8,726828.0,83.3,19232.0,726828.0,0.0,0.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.5,724360.0
28067.0,2019.0,4.0,42816.0,0.0,82.0,32.1,1178219.0,90.0,36675.0,1178219.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7.3,1192073.0
28068.0,2019.0,4.0,43645.0,0.0,78.6,36.1,1773587.0,83.3,41615.0,1145137.0,338864.0,0.6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,590.4,16509936.0
28081.0,2019.0,2.0,20535.0,0.0,65.0,43.1,940552.0,86.7,13600.0,515549.0,425003.0,1.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,25.7,955182.0
28086.0,2019.0,2.0,36256.0,0.0,65.4,36.1,1773587.0,83.3,29527.0,1145137.0,338864.0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,315.9,10639159.0
28089.0,2019.0,4.0,43645.0,0.0,52.0,35.8,2536241.0,100.1,41615.0,1145137.0,0.0,0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,15.6,2580125.0
28476.0,2019.0,1.0,30800.0,0.0,81.0,36.1,297650.0,83.3,30800.0,297650.0,0.0,0.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1.8,297650.0
28733.0,2019.0,7.0,43645.0,0.0,68.4,39.8,1773587.0,83.3,41615.0,1145137.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,30.6,4964294.0
28734.0,2019.0,7.0,43645.0,0.0,98.0,23.3,2699300.0,65.3,41615.0,1145137.0,0.0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,16.6,2699642.0
28735.0,2019.0,4.0,43645.0,0.0,78.6,36.1,1773587.0,83.3,41615.0,1145137.0,338864.0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,555.6,14100497.0
28874.0,2019.0,2.0,30984.0,0.0,97.0,26.4,817792.0,73.9,30984.0,817792.0,0.0,0.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5.0,828537.0
29069.0,2019.0,3.0,43645.0,0.0,72.8,46.4,1773587.0,100.0,41615.0,1145137.0,338864.0,1.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,144.0,6157318.0
29125.0,2019.0,7.0,43645.0,0.0,78.6,36.1,1773587.0,83.3,41615.0,1145137.0,338864.0,0.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,489.4,16285114.0
29148.0,2019.0,4.0,43732.0,0.0,78.6,36.1,1773587.0,83.3,43732.0,959332.0,338864.0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,125.8,3280048.0
29170.0,2019.0,3.0,22168.0,0.0,66.4,36.1,1796845.0,83.3,11084.0,935599.0,338864.0,0.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,51.5,1788385.0
